"Año","sistema","tiempo de operación en minutos","minutos de falla","tiempo entre falla y falla","humedad del equipo","correctivos realizados","temperatura","Vibración","cantidad de elementos"
"2023","SCADA ELECTRICO","126520680","6336","0","1","4","0","0","0"
"2022","DACI","229757712","0","0","0","6","0","0","0"
"2024","FASI","8471680","0","0","0","11","0","0","0"
"2025","ABCS","106791400","0","0","0","8","0","0","0"
"2023","BALANZAS","134846800","0","0","0","13","0","0","0"
"2024","SEMAFOROS","84554144","0","0","0","9","0","0","0"
"2025","PAS","40237712","0","0","0","11","0","0","0"
"2023","FIDS","239412320","0","0","0","9","0","0","2"
"2022","PIDS","211877800","0","0","0","10","0","0","2"
"2024","FIBROLASER","22235264","0","0","0","9","0","0","0"
"2025","AGENTE LIMPIO","170455152","0","0","0","9","0","0","0"
"2023","ACS","220310848","0","0","0","14","0","0","0"
"2022","SCADA MEP","148364576","0","0","0","92","0","0","0"
"2024","SCADA ELECTRICO","131456656","0","0","0","7","0","0","0"
"2025","BMS","199608968","0","0","0","12","0","0","0"
"2023","SCADA MEP","298304","0","0","0","70","0","0","0"
"2024","SCADA ELECTRICO","236579432","0","0","0","8","0","0","0"
"2025","DACI","38395328","1232","0","0","11","0","0","2"
"2023","FASI","729312","0","0","0","62","0","0","0"
"2022","ABCS","183315424","0","0","0","9","0","0","0"
"2024","BALANZAS","42570952","0","0","0","58","0","0","0"
"2025","SEMAFOROS","54378424","0","0","0","63","0","0","0"
"2023","PAS","118683272","0","0","0","8","0","0","0"
"2022","FIDS","107148272","0","0","0","65","0","0","0"
"2024","PIDS","234778096","0","0","0","90","0","0","0"
"2025","FIBROLASER","53071760","0","0","0","8","0","0","0"
"2023","AGENTE LIMPIO","22380768","0","0","0","8","0","0","0"
"2024","ACS","113057752","0","0","0","92","0","0","0"
"2025","SCADA MEP","141979144","0","0","0","67","0","0","0"
"2023","SCADA ELECTRICO","2373368","0","0","0","11","0","0","0"
"2022","BMS","156384480","0","0","0","91","0","0","0"
"2024","SCADA MEP","167290904","0","5","6","95","0","0","0"
"2025","SCADA ELECTRICO","91780872","0","0","0","7","0","0","0"
"2023","BMS","146195960","0","0","0","32","0","0","2"
"2022","SCADA MEP","167636672","0","0","0","6","0","0","0"
"2024","SCADA ELECTRICO","58802968","0","0","0","7","0","0","0"
"2025","DACI","17000896","0","0","0","58","0","0","0"
"2023","FASI","95214880","0","0","0","7","0","0","0"
"2024","ABCS","111709616","0","0","0","39","0","0","14"
"2025","BALANZAS","128410712","0","0","0","14","0","0","0"
"2023","SEMAFOROS","175582800","0","0","0","9","0","0","0"
"2022","PAS","61131968","0","0","0","36","0","0","0"
"2024","FIDS","211717136","0","0","0","7","0","0","0"
"2025","PIDS","205419560","0","0","0","6","0","0","0"
"2023","FIBROLASER","210532624","0","0","0","7","0","0","7"
"2022","AGENTE LIMPIO","129849824","0","0","0","11","0","0","0"
"2024","ACS","216641792","0","0","0","6","0","0","0"
"2025","SCADA MEP","195863944","0","0","0","11","0","0","0"
"2023","SCADA ELECTRICO","41300112","0","0","0","7","0","0","0"
"2024","BMS","166809968","0","0","0","17","0","0","0"
"2025","SCADA MEP","120472544","0","0","0","6","0","0","0"
"2023","SCADA ELECTRICO","215846224","0","0","1","11","0","0","0"
"2022","DACI","180474968","0","0","0","8","0","0","0"
"2024","FASI","142117744","0","0","0","6","0","0","0"
"2025","ABCS","168591160","0","0","0","12","0","0","0"
"2023","BALANZAS","199920328","0","0","0","6","0","0","0"
"2022","SEMAFOROS","43449600","17408","0","1","15","0","0","4"
"2024","PAS","165274944","0","0","0","7","0","0","0"
"2025","FIDS","108908712","0","0","0","7","0","0","1"
"2023","PIDS","63119808","0","0","0","7","0","0","0"
"2024","FIBROLASER","47840256","0","0","26","16","0","0","4"
"2025","AGENTE LIMPIO","151010312","0","0","0","5","0","0","5"
"2023","ACS","121405080","1056","0","6","8","0","0","0"
"2022","SCADA MEP","216903096","0","1","14","6","0","0","2"
"2024","SCADA ELECTRICO","68189000","0","0","0","11","0","0","4"
"2025","BMS","156881360","0","0","0","8","0","0","0"
"2023","SCADA MEP","81021168","0","0","8","9","0","0","0"
"2022","SCADA ELECTRICO","225018736","0","0","6","60","0","0","0"
"2024","BMS","129543120","0","0","0","4","0","0","0"
"2025","SCADA MEP","138312440","0","0","0","2","0","0","0"
"2023","SCADA ELECTRICO","23533944","0","0","0","4","0","0","0"
"2024","DACI","48342824","0","0","0","8","0","0","1"
"2025","FASI","156787912","0","0","0","6","0","0","1"
"2023","ABCS","24736600","0","0","0","6","0","0","0"
"2022","BALANZAS","54443832","0","0","0","12","0","0","98"
"2024","SEMAFOROS","151045488","0","0","20","10","0","0","4"
"2025","PAS","174166216","0","0","0","6","0","0","0"
"2023","FIDS","124392280","0","0","0","5","0","0","2"
"2022","PIDS","221601392","0","0","0","12","0","0","0"
"2024","FIBROLASER","202194456","0","0","0","6","0","0","0"
"2025","AGENTE LIMPIO","203872952","0","0","0","12","0","0","0"
"2023","ACS","173213656","0","0","0","6","0","0","0"
"2024","SCADA MEP","13491816","0","0","0","7","0","0","0"
"2025","SCADA ELECTRICO","81639352","0","0","0","6","0","0","0"
"2023","BMS","121954672","0","0","0","6","0","0","1"
"2022","SCADA MEP","224186232","0","0","0","7","0","0","0"
"2024","SCADA ELECTRICO","172194432","0","0","0","8","0","0","0"
"2025","DACI","87216432","0","0","0","12","0","0","1"
"2023","FASI","115814816","0","0","0","9","0","0","2"
"2022","ABCS","239161152","0","0","0","6","0","0","0"
"2024","BALANZAS","29108992","0","0","0","17","0","0","2"
"2025","SEMAFOROS","9983976","0","0","0","8","0","0","0"
"2023","PAS","26328712","0","0","9","8","0","0","1"
"2024","FIDS","177648608","0","0","0","6","0","0","0"
"2025","PIDS","183009864","0","0","0","6","0","0","0"
"2023","FIBROLASER","165690112","0","0","0","12","0","0","2"
"2022","AGENTE LIMPIO","156719232","0","0","0","17","0","0","0"
"2024","ACS","155578104","0","0","0","12","0","0","0"
"2025","SCADA MEP","232321216","0","0","6","8","0","0","1"
"2023","SCADA ELECTRICO","137279848","0","0","0","8","0","0","0"
"2022","BMS","217184136","0","0","0","6","0","0","0"
"2024","SCADA MEP","144456576","0","0","0","9","0","0","0"
"2025","SCADA ELECTRICO","19363776","0","0","0","16","0","0","2"
"2023","BMS","182117472","0","0","15","12","0","0","0"
"2024","SCADA MEP","98523584","0","0","0","17","0","0","0"
"2025","SCADA ELECTRICO","35870128","0","0","0","6","0","0","0"
"2023","DACI","29726472","0","0","0","13","0","0","0"
"2022","FASI","218318296","0","2","0","13","0","0","2794"
"2024","ABCS","199126528","0","0","13","9","0","0","0"
"2025","BALANZAS","134076008","0","0","2","10","0","0","0"
"2023","SEMAFOROS","241721712","0","0","0","5","0","0","6"
"2022","PAS","10684704","0","0","9","7","16","16","0"
"2024","FIDS","91742664","0","5","0","11","0","0","2"
"2025","PIDS","96821064","0","0","0","13","0","0","0"
"2023","FIBROLASER","30685944","0","0","0","11","0","0","0"
"2024","AGENTE LIMPIO","32919128","0","0","0","8","0","0","0"
"2025","ACS","26388160","0","2","0","5","0","0","1"
"2023","SCADA MEP","167760320","0","1","0","5","0","0","0"
"2022","SCADA ELECTRICO","93625680","0","0","0","5","0","0","5"
"2024","BMS","62045856","1160","0","17","6","0","0","2"
"2025","SCADA MEP","30858600","0","0","0","8","0","0","0"
"2023","SCADA ELECTRICO","238486208","0","0","6","10","0","0","0"
"2022","DACI","126314952","0","0","0","11","0","0","4"
"2024","FASI","208057056","0","0","0","16","0","0","3"
"2025","ABCS","23849392","0","0","0","8","0","0","1"
"2023","BALANZAS","201857416","0","0","0","11","0","0","0"
"2024","SEMAFOROS","78973104","0","0","1","16","6","6","1"
"2025","PAS","38293784","0","0","0","9","0","0","0"
"2023","FIDS","172431104","0","0","0","7","0","0","0"
"2022","PIDS","169070552","0","0","0","11","0","0","0"
"2024","FIBROLASER","51563264","0","0","0","17","0","0","0"
"2025","AGENTE LIMPIO","4041152","0","0","0","12","0","0","0"
"2023","ACS","113161400","0","0","0","6","0","0","0"
"2022","SCADA MEP","214843976","0","0","0","9","0","0","1"
"2024","SCADA ELECTRICO","102455016","0","0","0","6","0","0","0"
"2025","BMS","214204560","0","0","0","17","0","0","0"
"2023","SCADA MEP","142192576","0","0","0","10","0","0","0"
"2024","SCADA ELECTRICO","44275160","0","0","0","9","0","0","0"
"2025","BMS","177924640","0","0","0","8","0","0","0"
"2023","SCADA MEP","149103312","0","0","0","9","0","0","0"
"2022","SCADA ELECTRICO","237004056","0","0","0","8","0","0","5"
"2024","DACI","22472720","0","0","0","13","0","0","1"
"2025","FASI","86072160","0","0","0","12","0","0","0"
"2023","ABCS","144964112","0","0","0","6","0","0","0"
"2022","BALANZAS","89922656","0","0","0","7","0","0","4"
"2024","SEMAFOROS","115946832","0","0","12","6","0","0","0"
"2025","PAS","212851856","0","0","0","6","0","0","0"
"2023","FIDS","206216632","0","0","0","6","0","0","0"
"2024","PIDS","110363088","0","0","6","16","0","0","0"
"2025","FIBROLASER","209839208","0","0","0","16","0","0","0"
"2023","AGENTE LIMPIO","55982144","0","0","0","7","0","0","0"
"2022","ACS","88768680","0","0","0","6","0","0","0"
"2024","SCADA MEP","111512096","0","0","27","11","0","0","0"
"2025","SCADA ELECTRICO","218160168","0","0","0","8","0","0","0"
"2023","BMS","233898336","0","0","0","9","0","0","13"
"2022","SCADA MEP","116885712","0","0","0","11","0","0","0"
"2024","SCADA ELECTRICO","162608736","0","0","0","7","0","0","0"
"2025","DACI","185880024","0","0","0","12","0","0","0"
"2023","FASI","130143688","0","0","0","8","0","0","0"
"2024","ABCS","194760840","136","0","0","12","0","0","0"
"2025","BALANZAS","114539208","0","0","6","10","0","0","0"
"2023","SEMAFOROS","149775208","0","0","6","10","0","0","0"
"2022","PAS","187633224","0","0","0","13","0","0","0"
"2024","FIDS","5230888","2288","0","37","8","24","24","1"
"2025","PIDS","231173024","0","0","0","8","0","0","0"
"2023","FIBROLASER","50458400","0","0","0","11","0","0","1"
"2022","AGENTE LIMPIO","186368056","0","0","0","6","0","0","0"
"2024","ACS","210389736","0","0","0","7","0","0","0"
"2025","SCADA MEP","236979776","0","0","0","8","0","0","15"
"2023","SCADA ELECTRICO","112575408","0","0","0","13","0","0","0"
"2024","BMS","44926784","0","0","0","8","0","0","3"
"2025","SCADA MEP","177948000","0","0","0","7","0","0","0"
"2023","SCADA ELECTRICO","116685824","0","0","0","12","0","0","0"
"2022","BMS","18876760","0","406","0","12","0","0","2637"
"2024","SCADA MEP","161981144","0","0","0","13","0","0","0"
"2025","SCADA ELECTRICO","187173072","0","0","0","9","0","0","26"
"2023","DACI","88896736","0","0","0","12","0","0","0"
"2022","FASI","198574248","0","0","0","8","0","0","1"
"2024","ABCS","83001592","0","0","0","13","0","0","0"
"2025","BALANZAS","14208288","0","0","0","12","0","0","0"
"2023","SEMAFOROS","162237912","0","0","0","10","0","0","0"
"2024","PAS","135874632","0","0","0","7","0","0","0"
"2025","FIDS","204393912","0","0","6","6","0","0","8"
"2023","PIDS","172280032","0","0","0","7","0","0","0"
"2022","FIBROLASER","49170880","0","0","0","7","0","0","0"
"2024","AGENTE LIMPIO","148908960","0","0","0","7","0","0","2"
"2025","ACS","183166568","0","0","0","7","0","0","2"
"2023","SCADA MEP","91505920","1184","0","0","14","8","8","0"
"2022","SCADA ELECTRICO","11914784","0","0","0","13","0","0","0"
"2024","BMS","117494640","32","0","6","11","0","0","7"
"2025","SCADA MEP","27615232","0","1331","0","13","0","0","34"
"2023","SCADA ELECTRICO","211989544","64728","0","10","13","8","8","0"
"2024","DACI","229375968","0","0","0","8","0","0","0"
"2025","FASI","220638992","0","0","0","11","0","0","0"
"2023","ABCS","200558600","0","0","0","13","0","0","0"
"2022","BALANZAS","181732808","0","2","0","12","0","0","34"
"2024","SEMAFOROS","148319888","0","0","0","6","0","0","1"
"2025","PAS","194400080","0","0","0","7","0","0","0"
"2023","FIDS","92433864","0","0","0","8","0","0","2"
"2022","PIDS","103009368","0","0","0","6","0","0","0"
"2024","FIBROLASER","118734296","0","0","0","8","0","0","0"
"2025","AGENTE LIMPIO","237105944","712","0","69","12","0","0","0"
"2023","ACS","23890952","0","0","0","6","0","0","0"
"2024","SCADA MEP","141861104","0","0","0","7","0","0","0"
"2025","SCADA ELECTRICO","231317352","0","0","0","6","0","0","0"
"2023","BMS","183233752","0","0","0","13","0","0","0"
"2022","SCADA MEP","99709176","0","0","0","7","0","0","0"
"2024","SCADA ELECTRICO","71165536","0","0","0","9","0","0","0"
"2025","BMS","145514928","0","0","0","10","0","0","0"
"2023","SCADA MEP","182406472","0","0","76","10","16","16","0"
"2022","SCADA ELECTRICO","74907720","0","0","0","8","0","0","0"
"2024","DACI","238757760","0","0","0","12","0","0","0"
"2025","FASI","57938952","0","0","0","8","0","0","1"
"2023","ABCS","175443328","0","0","0","13","0","0","0"
"2024","BALANZAS","2412256","0","0","0","7","0","0","0"
"2025","SEMAFOROS","54499064","0","0","0","12","0","0","0"
"2023","PAS","45360768","0","0","0","8","0","0","1"
"2022","FIDS","218357112","0","0","0","9","0","0","0"
"2024","PIDS","34757536","0","0","0","14","0","0","0"
"2025","FIBROLASER","213196216","0","0","0","12","0","0","0"
"2023","AGENTE LIMPIO","3938344","0","21","6","8","0","0","1"
"2022","ACS","56204560","0","0","2","7","0","0","0"
"2024","SCADA MEP","157366080","0","0","6","7","0","0","1"
"2025","SCADA ELECTRICO","59159008","0","0","0","8","0","0","1"
"2023","BMS","112948064","0","0","0","8","0","0","3"
"2024","SCADA MEP","33686696","0","208","0","9","0","0","25"
"2025","SCADA ELECTRICO","9592272","0","0","0","9","0","0","0"
"2023","DACI","192776152","0","0","0","8","0","0","4"
"2022","FASI","230440256","0","0","0","11","0","0","1"
"2024","ABCS","41210152","0","0","0","6","0","0","233"
"2025","BALANZAS","99189504","0","0","0","11","0","0","0"
"2023","SEMAFOROS","96429872","0","0","0","8","0","0","0"
"2022","PAS","183583176","0","0","0","13","0","0","0"
"2024","FIDS","205042496","0","0","0","11","0","0","0"
"2025","PIDS","166668776","0","0","0","14","0","0","0"
"2023","FIBROLASER","55485032","0","0","0","11","0","0","0"
"2024","AGENTE LIMPIO","158719576","0","0","0","11","0","0","8"
"2025","ACS","85625416","0","220","0","8","0","0","24"
"2023","SCADA MEP","76974936","0","0","0","12","0","0","0"
"2022","SCADA ELECTRICO","239359712","0","0","0","8","0","0","0"
"2024","BMS","33848440","0","0","0","7","0","0","0"
"2025","SCADA MEP","129768968","0","0","0","7","0","0","0"
"2023","SCADA ELECTRICO","110519536","0","0","0","9","0","0","0"
"2022","BMS","123240752","0","0","0","13","0","0","0"
"2024","SCADA MEP","96918904","0","0","0","8","0","0","0"
"2025","SCADA ELECTRICO","150400544","0","0","0","13","0","0","0"
"2023","DACI","92509456","0","0","0","9","0","0","1"
"2024","FASI","131848624","0","0","0","6","0","0","2"
"2025","ABCS","22643312","0","0","0","10","0","0","0"
"2023","BALANZAS","33718904","0","0","0","12","0","0","0"
"2022","SEMAFOROS","162677928","0","0","0","6","0","0","0"
"2024","PAS","179106792","0","0","0","12","0","0","1"
"2025","FIDS","181879600","0","0","0","11","0","0","0"
"2023","PIDS","125204000","0","0","0","7","0","0","0"
"2022","FIBROLASER","63584856","0","0","0","17","0","0","0"
"2024","AGENTE LIMPIO","77129528","0","0","0","12","0","0","0"
"2025","ACS","187728320","0","0","0","6","0","0","3"
"2023","SCADA MEP","49037456","0","0","0","7","0","0","2"
"2024","SCADA ELECTRICO","86604728","0","0","6","16","0","0","0"
"2025","BMS","159022840","7024","0","24","9","0","0","0"
"2023","SCADA MEP","52430088","0","0","0","8","0","0","0"
"2022","SCADA ELECTRICO","8786904","0","1","0","7","0","0","7"
"2024","DACI","33551984","0","0","0","11","0","0","0"
"2025","FASI","4781256","0","0","0","12","0","0","0"
"2023","ABCS","101404624","0","0","0","7","0","0","0"
"2022","BALANZAS","141735040","0","0","0","8","0","0","0"
"2024","SEMAFOROS","160992856","424","0","1","10","0","0","0"
"2025","PAS","184935888","0","0","0","13","0","0","0"
"2023","FIDS","160862040","0","0","0","8","0","0","21"
"2024","PIDS","57089456","0","0","0","11","0","0","0"
"2025","FIBROLASER","211072752","0","0","0","8","0","0","4"
"2023","AGENTE LIMPIO","106913160","0","0","0","12","0","0","0"
"2022","ACS","232306168","0","0","0","9","0","0","0"
"2024","SCADA MEP","193818416","0","0","0","11","0","0","0"
"2025","SCADA ELECTRICO","24408880","0","0","0","7","0","0","0"
"2023","BMS","215458768","0","0","0","9","0","0","1"
"2022","SCADA MEP","136269808","0","0","0","7","0","0","0"
"2024","SCADA ELECTRICO","97601824","0","0","0","8","0","0","0"
"2025","BMS","135128104","0","0","0","11","0","0","0"
"2023","SCADA MEP","47212376","0","0","0","10","0","0","0"
"2024","SCADA ELECTRICO","136505896","0","0","0","9","0","0","0"
"2025","DACI","235271816","0","2693","0","10","0","0","2522"
"2023","FASI","239330064","0","1","0","7","0","0","241"
"2022","ABCS","91205960","0","0","0","10","0","0","0"
"2024","BALANZAS","195799720","0","0","0","8","0","0","0"
"2025","SEMAFOROS","132854552","0","0","0","12","0","0","8"
"2023","PAS","2573832","0","0","0","13","0","0","0"
"2022","FIDS","114457632","0","10","0","12","0","0","42"
"2024","PIDS","24628096","0","0","0","11","0","0","0"
"2025","FIBROLASER","75398440","0","0","0","6","0","0","0"
"2023","AGENTE LIMPIO","70738208","0","0","0","5","0","0","0"
"2024","ACS","47855472","0","12","0","8","0","0","4"
"2025","SCADA MEP","40359432","0","0","0","7","0","0","0"
"2023","SCADA ELECTRICO","60578640","0","263","0","10","0","0","263"
"2022","BMS","227900448","0","0","6","7","0","0","2"
"2024","SCADA MEP","162065352","0","0","0","8","0","0","1"
"2025","SCADA ELECTRICO","118203872","54896","0","73","6","32","32","0"
"2023","DACI","93069096","0","0","0","8","0","0","0"
"2022","FASI","15850736","0","0","0","8","0","0","6"
"2024","ABCS","178963976","0","0","0","7","0","0","0"
"2025","BALANZAS","96581408","0","72","0","12","0","0","1150"
"2023","SEMAFOROS","2878712","0","0","0","12","0","0","0"
"2024","PAS","188919264","0","0","0","11","0","0","0"
"2025","FIDS","40501256","0","0","0","12","0","0","0"
"2023","PIDS","168277768","0","0","0","9","0","0","0"
"2022","FIBROLASER","103694496","0","0","0","10","0","0","0"
"2024","AGENTE LIMPIO","187588664","0","0","0","8","0","0","0"
"2025","ACS","1138872","0","0","0","9","0","0","1"
"2023","SCADA MEP","181479280","0","0","0","7","0","0","0"
"2022","SCADA ELECTRICO","128123728","0","0","0","11","0","0","0"
"2024","BMS","213632376","0","0","0","7","0","0","0"
"2025","SCADA MEP","101803088","0","0","0","5","0","0","0"
"2023","SCADA ELECTRICO","83218880","0","0","0","8","0","0","0"
"2024","BMS","154007800","0","0","0","8","0","0","0"
"2025","SCADA MEP","55443312","0","0","0","8","0","0","1"
"2023","SCADA ELECTRICO","30631360","0","0","0","7","0","0","0"
"2022","DACI","71305576","0","0","0","10","0","0","6"
"2024","FASI","169545904","0","0","0","8","0","0","0"
"2025","ABCS","175144544","0","0","0","11","0","0","0"
"2023","BALANZAS","78014208","0","0","0","6","0","0","0"
"2022","SEMAFOROS","4461552","0","0","0","24","0","0","0"
"2024","PAS","56352656","0","0","0","10","0","0","0"
"2025","FIDS","21102896","0","0","0","14","0","0","0"
"2023","PIDS","141363512","0","0","0","10","0","0","0"
"2024","FIBROLASER","108664112","0","0","0","9","0","0","0"
"2025","AGENTE LIMPIO","210550904","1080","0","0","7","0","0","0"
"2023","ACS","6930600","0","0","0","7","0","0","0"
"2022","SCADA MEP","80871264","0","0","0","11","0","0","6"
"2024","SCADA ELECTRICO","183223080","0","0","0","8","0","0","1"
"2025","BMS","96811064","0","0","0","8","0","0","0"
"2023","SCADA MEP","140213216","0","0","0","16","0","0","0"
"2022","SCADA ELECTRICO","46683120","0","0","6","7","0","0","0"
"2024","DACI","35488968","0","0","0","9","0","0","0"
"2025","FASI","135848152","0","0","0","9","0","0","0"
"2023","ABCS","41328776","0","0","0","24","0","0","0"
"2024","BALANZAS","177762928","0","0","0","8","0","0","0"
"2025","SEMAFOROS","200844920","0","0","0","14","0","0","0"
"2023","PAS","195673072","0","0","0","7","0","0","0"
"2022","FIDS","206283000","0","0","0","5","0","0","0"
"2024","PIDS","165588464","0","0","0","5","0","0","0"
"2025","FIBROLASER","125055248","0","0","0","6","0","0","0"
"2023","AGENTE LIMPIO","123353744","0","0","0","6","0","0","0"
"2022","ACS","235508256","0","0","0","6","0","0","0"
"2024","SCADA MEP","184182360","0","0","0","12","0","0","0"
"2025","SCADA ELECTRICO","78297280","0","0","0","11","0","0","0"
"2023","BMS","52759440","0","0","0","10","0","0","0"
"2024","SCADA MEP","234023168","0","0","0","11","0","0","0"
"2025","SCADA ELECTRICO","111251480","0","12","0","25","0","0","0"
"2023","BMS","174378984","0","0","0","9","0","0","0"
"2022","SCADA MEP","22815136","0","0","0","9","0","0","0"
"2024","SCADA ELECTRICO","203855584","0","0","0","11","0","0","0"
"2025","DACI","137321584","0","0","0","7","0","0","0"
"2023","FASI","42447176","0","0","0","9","0","0","0"
"2022","ABCS","67698336","0","0","0","18","0","0","0"
"2024","BALANZAS","130685952","0","0","0","12","0","0","0"
"2025","SEMAFOROS","61260736","0","0","0","7","0","0","0"
"2023","PAS","66121272","0","0","0","8","0","0","0"
"2024","FIDS","151617168","0","0","0","23","0","0","0"
"2025","PIDS","220954848","0","0","0","11","0","0","0"
"2023","FIBROLASER","90950360","0","0","0","11","0","0","0"
"2022","AGENTE LIMPIO","72570896","0","0","0","11","0","0","0"
"2024","ACS","48121056","0","0","0","8","0","0","0"
"2025","SCADA MEP","113246064","0","0","0","13","0","0","0"
"2023","SCADA ELECTRICO","182116904","0","0","0","12","0","0","0"
"2022","BMS","36149400","0","0","0","11","0","0","0"
"2024","SCADA MEP","75430408","0","0","0","16","0","0","0"
"2025","SCADA ELECTRICO","83472072","0","0","0","7","0","0","0"
"2023","DACI","102223184","0","0","0","14","0","0","0"
"2024","FASI","32395064","0","0","10","5","0","0","0"
"2025","ABCS","238145448","0","0","0","6","0","0","0"
"2023","BALANZAS","20470472","0","0","0","9","0","0","0"
"2022","SEMAFOROS","173113976","0","0","0","5","0","0","0"
"2024","PAS","152128288","0","0","0","6","0","0","0"
"2025","FIDS","168506736","0","0","0","7","0","0","0"
"2023","PIDS","208086480","0","0","0","11","0","0","0"
"2022","FIBROLASER","2364136","0","0","0","8","0","0","0"
"2024","AGENTE LIMPIO","7511752","0","0","0","10","0","0","0"
"2025","ACS","229743248","0","0","0","14","0","0","0"
"2023","SCADA MEP","142337320","0","0","0","7","0","0","0"
"2024","SCADA ELECTRICO","113768512","0","0","0","9","0","0","0"
"2025","BMS","9763400","0","0","0","11","0","0","1"
"2023","SCADA MEP","150657008","0","0","0","8","0","0","0"
"2022","SCADA ELECTRICO","144712560","0","0","0","11","0","0","0"
"2024","BMS","38123936","0","0","0","8","0","0","1"
"2025","SCADA MEP","140892928","0","0","0","14","0","0","0"
"2023","SCADA ELECTRICO","101633592","2336","0","0","8","0","0","0"
"2022","DACI","208105408","0","0","0","10","0","0","0"
"2024","FASI","9472","0","0","0","12","0","0","0"
